,tool,threshold,strain,nTP
0,BioGraph*,10,AKR_J,36
1,BioGraph*,10,A_J,47
2,BioGraph*,10,BALB_CJ,45
3,BioGraph*,10,C3H_HeJ,41
4,BioGraph*,10,CBA_J,44
5,BioGraph*,10,DBA_2J,45
6,BioGraph*,10,LP_J,39
7,BioGraph*,100,AKR_J,249
8,BioGraph*,100,A_J,279
9,BioGraph*,100,BALB_CJ,269
10,BioGraph*,100,C3H_HeJ,251
11,BioGraph*,100,CBA_J,272
12,BioGraph*,100,DBA_2J,285
13,BioGraph*,100,LP_J,222
14,BioGraph*,1000,AKR_J,269
15,BioGraph*,1000,A_J,304
16,BioGraph*,1000,BALB_CJ,294
17,BioGraph*,1000,C3H_HeJ,278
18,BioGraph*,1000,CBA_J,302
19,BioGraph*,1000,DBA_2J,316
20,BioGraph*,1000,LP_J,241
21,BioGraph*,10000,AKR_J,291
22,BioGraph*,10000,A_J,323
23,BioGraph*,10000,BALB_CJ,317
24,BioGraph*,10000,C3H_HeJ,300
25,BioGraph*,10000,CBA_J,327
26,BioGraph*,10000,DBA_2J,341
27,BioGraph*,10000,LP_J,264
28,breakdancer,10,AKR_J,9
29,breakdancer,10,A_J,11
30,breakdancer,10,BALB_CJ,8
31,breakdancer,10,C3H_HeJ,11
32,breakdancer,10,CBA_J,4
33,breakdancer,10,DBA_2J,8
34,breakdancer,10,LP_J,7
35,breakdancer,100,AKR_J,254
36,breakdancer,100,A_J,285
37,breakdancer,100,BALB_CJ,283
38,breakdancer,100,C3H_HeJ,266
39,breakdancer,100,CBA_J,290
40,breakdancer,100,DBA_2J,295
41,breakdancer,100,LP_J,210
42,breakdancer,1000,AKR_J,311
43,breakdancer,1000,A_J,360
44,breakdancer,1000,BALB_CJ,355
45,breakdancer,1000,C3H_HeJ,338
46,breakdancer,1000,CBA_J,380
47,breakdancer,1000,DBA_2J,384
48,breakdancer,1000,LP_J,292
49,breakdancer,10000,AKR_J,325
50,breakdancer,10000,A_J,374
51,breakdancer,10000,BALB_CJ,371
52,breakdancer,10000,C3H_HeJ,351
53,breakdancer,10000,CBA_J,390
54,breakdancer,10000,DBA_2J,404
55,breakdancer,10000,LP_J,307
56,clever,10,AKR_J,54
57,clever,10,A_J,67
58,clever,10,BALB_CJ,69
59,clever,10,C3H_HeJ,82
60,clever,10,CBA_J,87
61,clever,10,DBA_2J,76
62,clever,10,LP_J,51
63,clever,100,AKR_J,336
64,clever,100,A_J,359
65,clever,100,BALB_CJ,385
66,clever,100,C3H_HeJ,373
67,clever,100,CBA_J,411
68,clever,100,DBA_2J,414
69,clever,100,LP_J,335
70,clever,1000,AKR_J,396
71,clever,1000,A_J,410
72,clever,1000,BALB_CJ,438
73,clever,1000,C3H_HeJ,429
74,clever,1000,CBA_J,471
75,clever,1000,DBA_2J,486
76,clever,1000,LP_J,374
77,clever,10000,AKR_J,488
78,clever,10000,A_J,424
79,clever,10000,BALB_CJ,453
80,clever,10000,C3H_HeJ,447
81,clever,10000,CBA_J,489
82,clever,10000,DBA_2J,514
83,clever,10000,LP_J,386
84,delly,10,AKR_J,69
85,delly,10,A_J,75
86,delly,10,BALB_CJ,76
87,delly,10,C3H_HeJ,73
88,delly,10,CBA_J,78
89,delly,10,DBA_2J,76
90,delly,10,LP_J,68
91,delly,100,AKR_J,311
92,delly,100,A_J,335
93,delly,100,BALB_CJ,331
94,delly,100,C3H_HeJ,333
95,delly,100,CBA_J,361
96,delly,100,DBA_2J,364
97,delly,100,LP_J,294
98,delly,1000,AKR_J,353
99,delly,1000,A_J,380
100,delly,1000,BALB_CJ,376
101,delly,1000,C3H_HeJ,371
102,delly,1000,CBA_J,412
103,delly,1000,DBA_2J,411
104,delly,1000,LP_J,332
105,delly,10000,AKR_J,405
106,delly,10000,A_J,429
107,delly,10000,BALB_CJ,433
108,delly,10000,C3H_HeJ,429
109,delly,10000,CBA_J,474
110,delly,10000,DBA_2J,485
111,delly,10000,LP_J,374
112,gasv,100,AKR_J,68
113,gasv,100,A_J,83
114,gasv,100,BALB_CJ,88
115,gasv,100,C3H_HeJ,76
116,gasv,100,CBA_J,103
117,gasv,100,DBA_2J,107
118,gasv,100,LP_J,72
119,gasv,1000,AKR_J,304
120,gasv,1000,A_J,309
121,gasv,1000,BALB_CJ,357
122,gasv,1000,C3H_HeJ,333
123,gasv,1000,CBA_J,369
124,gasv,1000,DBA_2J,387
125,gasv,1000,LP_J,324
126,gasv,10000,AKR_J,496
127,gasv,10000,A_J,526
128,gasv,10000,BALB_CJ,536
129,gasv,10000,C3H_HeJ,533
130,gasv,10000,CBA_J,582
131,gasv,10000,DBA_2J,600
132,gasv,10000,LP_J,479
133,gridss,10,AKR_J,58
134,gridss,10,A_J,69
135,gridss,10,BALB_CJ,68
136,gridss,10,C3H_HeJ,63
137,gridss,10,CBA_J,69
138,gridss,10,DBA_2J,83
139,gridss,10,LP_J,59
140,gridss,100,AKR_J,317
141,gridss,100,A_J,340
142,gridss,100,BALB_CJ,343
143,gridss,100,C3H_HeJ,336
144,gridss,100,CBA_J,364
145,gridss,100,DBA_2J,376
146,gridss,100,LP_J,303
147,gridss,1000,AKR_J,384
148,gridss,1000,A_J,411
149,gridss,1000,BALB_CJ,413
150,gridss,1000,C3H_HeJ,406
151,gridss,1000,CBA_J,443
152,gridss,1000,DBA_2J,464
153,gridss,1000,LP_J,367
154,gridss,10000,AKR_J,464
155,gridss,10000,A_J,490
156,gridss,10000,BALB_CJ,501
157,gridss,10000,C3H_HeJ,489
158,gridss,10000,CBA_J,542
159,gridss,10000,DBA_2J,562
160,gridss,10000,LP_J,446
161,indelminer,10,AKR_J,14
162,indelminer,10,A_J,13
163,indelminer,10,BALB_CJ,13
164,indelminer,10,C3H_HeJ,6
165,indelminer,10,CBA_J,17
166,indelminer,10,DBA_2J,13
167,indelminer,10,LP_J,15
168,indelminer,100,AKR_J,82
169,indelminer,100,A_J,68
170,indelminer,100,BALB_CJ,57
171,indelminer,100,C3H_HeJ,57
172,indelminer,100,CBA_J,98
173,indelminer,100,DBA_2J,91
174,indelminer,100,LP_J,67
175,indelminer,1000,AKR_J,181
176,indelminer,1000,A_J,147
177,indelminer,1000,BALB_CJ,144
178,indelminer,1000,C3H_HeJ,137
179,indelminer,1000,CBA_J,228
180,indelminer,1000,DBA_2J,224
181,indelminer,1000,LP_J,189
182,indelminer,10000,AKR_J,305
183,indelminer,10000,A_J,226
184,indelminer,10000,BALB_CJ,247
185,indelminer,10000,C3H_HeJ,225
186,indelminer,10000,CBA_J,377
187,indelminer,10000,DBA_2J,358
188,indelminer,10000,LP_J,347
189,mistrvar,10,AKR_J,17
190,mistrvar,10,A_J,23
191,mistrvar,10,BALB_CJ,21
192,mistrvar,10,C3H_HeJ,19
193,mistrvar,10,CBA_J,26
194,mistrvar,10,DBA_2J,23
195,mistrvar,10,LP_J,18
196,mistrvar,100,AKR_J,110
197,mistrvar,100,A_J,136
198,mistrvar,100,BALB_CJ,122
199,mistrvar,100,C3H_HeJ,118
200,mistrvar,100,CBA_J,138
201,mistrvar,100,DBA_2J,138
202,mistrvar,100,LP_J,97
203,mistrvar,1000,AKR_J,195
204,mistrvar,1000,A_J,213
205,mistrvar,1000,BALB_CJ,202
206,mistrvar,1000,C3H_HeJ,212
207,mistrvar,1000,CBA_J,244
208,mistrvar,1000,DBA_2J,240
209,mistrvar,1000,LP_J,183
210,mistrvar,10000,AKR_J,444
211,mistrvar,10000,A_J,470
212,mistrvar,10000,BALB_CJ,490
213,mistrvar,10000,C3H_HeJ,482
214,mistrvar,10000,CBA_J,527
215,mistrvar,10000,DBA_2J,537
216,mistrvar,10000,LP_J,430
217,pindel,10,AKR_J,46
218,pindel,10,A_J,51
219,pindel,10,BALB_CJ,46
